id,created_at,block_number,sandwicher_address,frontrun_swap_transaction_hash,frontrun_swap_trace_address,backrun_swap_transaction_hash,backrun_swap_trace_address,profit_amount
4d463771-16a4-4a6a-b660-4d50e346d9ce,2022-01-16 22:22:21.935712,14017236.0,0x1d6e8bac6ea3730825bde4b005ed7b2b39a2932d,0x7157bcf5796a0e5f953c6d51418ea90d472739730a8c2eedd225d85bcf5a9364,[1],0xa2a3c02d5545e154f40ef41c1ef8592c7c69a1aca2849b37ed87a6a4c291a388,[1],3.8992811971633656e+16
3b573e2b-561a-48de-9bb4-31b378dc1aff,2022-01-16 22:22:21.935712,14017237.0,0x00000000008c4fb1c916e0c88fd4cc402d935e7d,0xeeadb5140b1904febb8afbe8f9bc3eda462307818ca8e38fd1129b25418364e3,[1],0x429fe935eb703578c69beec076912e62d7c34318bb44b54ba012c57e076a81c6,[1],7048397056.0
b52e5375-5efc-428a-be6b-e0bb604c90fa,2022-01-16 22:22:21.935712,14017241.0,0x00000000008c4fb1c916e0c88fd4cc402d935e7d,0xcd64abbee6976b8440443dfccc647c5780f77a8f9e0acd282b498ddb3a853086,[1],0x0b42555aa57ff34194d2aee224efca10756530b79b62f4721f693081750d38b8,[1],293474800.0
864cf8fa-f285-4cf3-b1a4-7b8550ebb7ef,2022-01-16 22:22:21.935712,14017241.0,0x7cf09d7a9a74f746edcb06949b9d64bcd9d1604f,0x56947f02affe8c75fd6bac9c0362675db66cbcda04b899d46d38367b54c46fb8,[0],0x6f8ab891ec86476ccb355c76b7439ce2f5f8a7ba6a08496ffc8da51943a96b78,[0],3.431257814291915e+17
19e66684-8c23-4b08-9f52-b968174d083d,2022-01-16 22:22:21.935712,14017241.0,0x00000000003b3cc22af3ae1eac0440bcee416b40,0x7214cfc6add4eb15214f2aa43ac5edb5c214fb5ed051f2df664bfc6040848111,[1],0x9aef483c91270a953d2146eaee32873d7ec53cca7be6fb00196011ae4c5dbf4b,[1],1.1941184185932186e+17
a603e7b1-e794-40d9-9217-577e107ac41d,2022-01-16 22:22:21.935712,14017244.0,0x000000000035b5e5ad9019092c665357240f594e,0xfa8d594ac1947992f9ad63dd3c5ef58a178c48c67b7550ccd207e090ad1238d8,[1],0xaf81791eccc3f61efdd22556b8c8e74ef1817874fe4fb435fed169334f4b9d5b,[1],3.5695122743821936e+16
b1551487-ef54-4c7c-9117-4d1b28c8866a,2022-01-16 22:22:24.910318,14017254.0,0x00000000003b3cc22af3ae1eac0440bcee416b40,0xcbf7f6679d795db95a6273b8888748bd2a8714e6c8229f7c7f055f534df4217b,[2],0x05c4f656391682eb68bdfcd99186f5b62a8e3944b78e2e8ab3a3407fb915b735,[1],5.000201647870927e+18
d9636fa5-bea4-421d-baa0-62a2777364ad,2022-01-16 22:22:38.584933,14017261.0,0x00000000500e2fece27a7600435d0c48d64e0c00,0x766829f360ad5838e401ba7f2f7f05b221a9ce897b9ecb8415ed266d67d54bf9,[1],0xdd9423cf574c83015fa50a87bdb72458edacd6df7c17140985a0280fdb203132,[1],8.77597524282176e+16
6c8159fa-3847-4063-ab48-7f2c3f1b2e2e,2022-01-16 22:22:35.621524,14017268.0,0x00000000a1f2d3063ed639d19a6a56be87e25b1a,0x553071d899cbbc8a68604f176de9c1d29df9ea1bcfadf116a1e2112c43f6cba4,[1],0x08e009f83bbb3ead5ae52f1034c40bdf2a2fb2e95d97f5f7ac711c212bd1f369,[1],2.3276107013821776e+16
bbebaa2e-0c81-4a8f-a684-fff6ea612aee,2022-01-16 22:22:35.621524,14017271.0,0x2ae0d7d7e9c7880f01e530c731f21d49be179732,0xb036b20a8ca73731e13a0e106f6aeaa439309fd8d622b753ee68fee3602520bc,[1],0xb06dec4c4cafcd418a0ff9697ef124481dcfe5cb605d4b8888b6e811e74d79aa,[1],1.1439681691227579e+17
